"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"decoy_3441","0.326094","0.400673","0.623536","0.662983","0.382098","0.413859","fhyHb@DXIiw`ABSKlkZqJJLxLuPAELd@@","O=C1COc2ccc(-c3nnc(S)[nH]3)cc2N1"
"decoy_3442","0.38966","0.494183","0.639585","0.709428","0.428577","0.495824","f`iH@@@PX[IDleEDhU`bmN}MUUUTtcdd`@","c1n[nH]cc1CN1CCC[C@@H]1[C@H]1CCCN1"
"decoy_3443","0.352066","0.451004","0.659764","0.695285","0.38132","0.412261","fdeP`DDRAZTyEDehdhXdbTUhLVj`@jjbPQFP@","O=C1CC[C@H](c2ccc[n+]([C@H]3CCCCO3)c2)N1"
"decoy_3444","0.32236","0.405003","0.500232","0.624641","0.341966","0.406049","fewqb@L^sAC`AFRRFIPiYSJJIJYgMFjOlujh@Ih@@B@@@","O=C(Nc1cccc2cccnc12)c1ccc(N2CCCS2(=O)=O)cc1"
"decoy_3445","0.421196","0.440436","0.694771","0.754346","0.453817","0.468554","fnsP@@@FRiUueU~UiqpZmjjjBBH@H@@@","c1ccc(CCN2CCC(CNCc3ccccc3)CC2)cc1"
"decoy_3446","0.233254","0.286074","0.614984","0.621322","0.310921","0.331524","foQHB@LDhp@QdbbRJTRQJLyYuLuP@R@@@","c1ccc(Cc2nnc3scnn23)cc1"
"decoy_3447","0.249776","0.287072","0.523114","0.519765","0.312602","0.315771","foAHb@LBLzB@AFRREQQIIZ\Zru@pRD@@","O=S(=O)(Nc1cc[nH]n1)c1ccncc1"
"decoy_3448","0.336602","0.318427","0.520382","0.513943","0.366703","0.339596","fmoq`@DYJAO\bbbbRRbVRfNTREKWhefmjjjjffjjjkFIJMP@","O=C(NC[C@H]1CCCO1)[C@H]1CN(C(=O)[C@H]2CC=CCC2)CC12CCNCC2"
"decoy_3449","0.373526","0.350964","0.610984","0.586403","0.382139","0.346495","fcQ`@DTAHjSJrrrzwZkz}FoUsvuPLEPhTDbQ@ar@","O=C(C/N=c1\ccc2cccoc-2c1)Nc1ccccc1Oc1ccccc1"
"decoy_345","0.299518","0.374203","0.468903","0.521693","0.300692","0.320975","f`i`@@@ITj|rkSakN}UUUUUT@@","C1CCC(CN2CCC3(CCCC3)CC2)C1"
"decoy_3450","0.387642","0.50023","0.59008","0.703661","0.410431","0.486452","fhiq@@DXtAIeYU^uQoAZjjjjj@@","O=C(NCCN1CCCC1)NC1CCCCC1"
"decoy_3451","0.316783","0.365465","0.637034","0.632975","0.375322","0.37528","fj}I@@DBCdBSKJl{{KHsoYJuA@@AThP@@","O=C(NCc1ccc(-n2ccnc2)cc1)c1cccnc1"
"decoy_3452","0.344393","0.433511","0.532977","0.565499","0.364343","0.395362","f`qaB@JR@DIRnjljRcoUUUP@P@@","c1ccc(OCCCN2CCSCC2)cc1"
"decoy_3453","0.361375","0.360492","0.530997","0.496614","0.366506","0.338203","fa{q@@AAbCIEDhldmheCDeQbcAbwmUAADuP@PbHKr@@","C1=C(CNC[C@@H]2OCCc3ccccc32)[C@@H](c2ccccc2)N=N1"
"decoy_3454","0.281942","0.323513","0.594148","0.594841","0.358224","0.375946","foAHb@LJMZB@AFRREQQIIZ\ZruAHLD@@","O=S(=O)(Nc1cn[nH]c1)c1cccnc1"
"decoy_3455","0.48899","0.578952","0.767847","0.783968","0.511998","0.554829","f`qP`@DF@iIeeV]yF]yjjjjjh\P@","O=C(NC[C@H]1CCCCO1)C1CCNCC1"
