"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"decoy_2299","0.320058","0.380708","0.638145","0.692358","0.355202","0.409653","fnkqB@LU[H@PeLrjo\job`mIjUmSMLp@@APPDhTP","O=c1/c(=C/c2ccncc2)sc2n1C=C[C@H](c1ccncc1)C=2"
"decoy_23","0.290206","0.393315","0.518025","0.622559","0.353266","0.419197","dg|BPHP{@HTHrRPiZIJTrzmUURteKd@","O=S1(=O)CC[C@H]([C@H]2CCS(=O)(=O)C2)C1"
"decoy_230","0.303672","0.395102","0.498526","0.544202","0.352022","0.403751","f`i``@I@peMN}vnFBT{uUUUUUTNP@","C1CCN([C@H]2CCCC3(C2)OCCO3)CC1"
"decoy_2300","0.323223","0.45553","0.57462","0.684876","0.388357","0.49309","dk]D`LVD@HrRPjJIDYtujjjj`d@","O=S(=O)(NC1CC1)[C@H]1CCCNC1"
"decoy_2301","0.342251","0.351122","0.537511","0.552365","0.363548","0.364201","fa{p`@MYJAfRJIQEYIQIYQJcARbeoZB`Jh@Je``@@","c1cnn(-c2ccc(CNCc3ccc4c(c3)OCCO4)cc2)c1"
"decoy_2302","0.29724","0.365323","0.766804","0.778757","0.416411","0.445276","foQQ@@KN@eLr{vxhIUgTEADmEAB@@","c1ccc2c(c1)C[C@H](Cc1cn[nH]c1)O2"
"decoy_2303","0.345166","0.422513","0.586482","0.762599","0.355745","0.406566","fjcq@@DNBCHhhiDddfhdeNt[UleZjjjj@BhQbZ`@","O=C(N1CCN(c2ccccn2)CC1)[C@]12CC[C@H](CC1)C2"
"decoy_2304","0.370336","0.433088","0.615152","0.624651","0.395994","0.425046","fj}PR@LN``U`AFRREQIYZYQITXkVRkRDAM@A@@@","O=C(Nc1ccccc1)c1ccc2c(c1)S(=O)(=O)N=C2O"
"decoy_2305","0.317603","0.397612","0.536401","0.660504","0.344568","0.42565","figI@@DD]xBSKJksJknbeDj\}FuTuPTBeKEHqARCH","O=C(N/N=C/c1ccccc1)[C@@H]1CC[C@@H](C2N=c3ccccc3=N2)C1"
"decoy_2306","0.229375","0.323808","0.449521","0.537751","0.296629","0.33799","dg|``Hqk@HReuVUpcnej`@`@@","c1cc(CNCc2csnn2)ccn1"
"decoy_2307","0.422597","0.360004","0.607088","0.585882","0.42667","0.407199","fmoI@@JNCDBTkjrnlk]jRakYkM]UU@APA@@P@@@","c1ccc(-c2ccnc(Nc3ccc(CCN4CCOCC4)cc3)n2)cc1"
"decoy_2308","0.42026","0.487593","0.628017","0.713159","0.483482","0.534613","fj}Qb@LE``p@cIICDhdhmMeeF]GIUjjjjjjjQRBP@","O=S(=O)(CCC1CCNCC1)N1CCO[C@@H]2CCCC[C@H]21"
"decoy_2309","0.344793","0.422843","0.740501","0.772273","0.401065","0.451668","f`iq@@DF\AIeU]YRTEIwfj@Jf`P@@","O=C1Cc2cc(Cc3ccn[nH]3)ccc2N1"
"decoy_231","0.387818","0.454427","0.798115","0.813059","0.452739","0.525283","fb}`@@@YHdidiiheDRTDkpTyj`B@@@H@@@","c1cc2c(c(-c3cccc4ccccc34)c1)CCNC2"
"decoy_2310","0.27121","0.326209","0.557045","0.617998","0.331444","0.359415","fiwP@@@JRfYUg{Ug_EAFUYM^cZjfi``@@ZCBDqV`@","c1ccc([C@H]2CC3=c4ccccc4=N[C@H]3[C@@H](c3ccccc3)N2)cc1"
"decoy_2311","0.511879","0.529536","0.701589","0.71871","0.537267","0.563232","figi@@FR|TXLdTRbRTrLrbRrD[SdezN``HB@BJhB@@","c1cnc2c(OCCNc3ncnc4c3CCNCC4)cccc2c1"
"decoy_2312","0.318627","0.30769","0.454826","0.481006","0.340954","0.316574","figP@@@JRfYg~uuYVgIZ|Ghp@`Hjjh@@`@@","c1ccc(CCC2CCN(Cc3ccc4ccccc4n3)CC2)cc1"
"decoy_2313","0.310712","0.377374","0.723293","0.721758","0.366754","0.37129","f`iQB@NBX@HrQQJEYQIDhJSoUKMUUS@@@","c1csc(-c2nc(C3CCCCC3)no2)c1"
"decoy_2314","0.394255","0.511493","0.562853","0.737247","0.421826","0.524057","fbmpb@LFsA@@cIICDdhhddlYp\qRmUUUUUUPE@@","O=S(=O)(CC1CCNCC1)N1CCC[N@]2CCC[C@H]2C1"
"decoy_2315","0.301862","0.361796","0.700265","0.727928","0.356148","0.395199","fhiP`BDT@JdbyIeeeo]UoAZ`h@@@@@","O=C(NCc1ccccc1)c1cccc[n+]1[O-]"
"decoy_2316","0.332029","0.365542","0.578408","0.579909","0.375373","0.375819","fnsH`@DXlDGlbbbTJVRTrbRhqVjmZj@Bih@H@@@","O=C(NCc1ccc(N2CCNC2=O)cc1)Nc1ccccc1"
"decoy_2317","0.321049","0.436909","0.600379","0.727084","0.372752","0.448552","f`i`b@NPP@HrRPiZIIITXkSoKUUT@PPh`@","O=S1(=O)CC[C@H](N2Cc3ccccc3C2)C1"
"decoy_2318","0.33258","0.415339","0.608065","0.639482","0.357947","0.389922","f`ipB@F\T@HRfU}YWENB]z`PJjjH@@","c1cc2nc(CN3CCCCC3)ncc2s1"
"decoy_2319","0.265079","0.36973","0.581469","0.686068","0.331709","0.380595","f`iq@@HDxCIDhmEDdc`fcN}SUPJAPaDh`@","C1=C[C@H]([C@@H]2NC(c3ccccc3)=NO2)N=C1"
"decoy_232","0.262955","0.36615","0.513568","0.828197","0.306063","0.366806","fduA@@@ILkZvmmFRU[pXmMUUSUUDXaIT|`@","O=C1C=C2CC[C@H]3C4=CCC[C@H]4CC[C@@H]3[C@H]2CC1"
"decoy_2320","0.402636","0.513079","0.644347","0.696031","0.44598","0.535065","f`qPb@LV``@QddabbRRRMzsejjjjj@@","O=S(=O)(C1CCCCC1)N1CCCNCC1"
"decoy_2321","0.41331","0.449141","0.831602","0.799036","0.439187","0.460076","fbmq@@D^RAIefUW~UUcNSej@@@JeB@@","O=C(Nc1ccccc1)c1ccc(-n2ccnc2)cc1"
"decoy_2322","0.329216","0.418704","0.539187","0.578568","0.368315","0.383421","foAa@@A@RfUWm^Rlz``bjb@@","c1ccc(OCCN2CCCCC2)cc1"
"decoy_2323","0.443465","0.506991","0.737691","0.737678","0.446397","0.454001","fbm`b@L^R@HrQIJJJIIQJf}Yt\tuMAU@e@HH`","O=c1cc(CS/C=N/C2CCCC2)c2ccccc2o1"
"decoy_2324","0.4302","0.477731","0.602917","0.683348","0.434437","0.448079","fnsqa@NJmAD`ACPcIIBeeLeHhddZLSfkUjjZjjjjjED@","O=C(NCC1(N2CCSCC2)CCCC1)N[C@H]1CCS(=O)(=O)C1"
"decoy_2325","0.344442","0.331538","0.580861","0.568615","0.382569","0.361695","fcp`@DDXBfQQJKIQQIQQZIH{qTuzn^vif`@@@@@@@DFP","O=C(N/N=C/c1c2ccccc2cc2ccccc12)C(=O)Nc1ccccc1"
"decoy_2326","0.301294","0.336093","0.452173","0.493824","0.310675","0.310609","fa{P@D@LAJULjkNn}jQdkARwlpTDAA@@P@@@","c1ccc(CCn2c[n+](Cc3ccccc3)c3ccccc32)cc1"
"decoy_2327","0.400777","0.535052","0.624101","0.716587","0.433299","0.511593","f`qPa@L^``@QhHrRPiQQIHzL{ruUUUUPh`@","O=S(=O)(CC1CCNCC1)N[C@H]1CCSC1"
"decoy_2328","0.360812","0.426679","0.904726","0.899875","0.410021","0.430565","fdeP`@EZ@sIEDdXeeDeQbmAcUURt@EDHH@","c1ccc(-n2cc(C[C@H]3COCCO3)cn2)cc1"
"decoy_2329","0.321487","0.371293","0.694426","0.686356","0.378662","0.387792","fluQ@@D^AdTRbbRbVbjgV}EKT@@@@@@@@","O=C(Nc1ccnc2ccccc12)c1ccccc1"
"decoy_233","0.251995","0.359989","0.55553","0.673577","0.304906","0.37698","f`qPb@DXyH@PdrsK^}AN|tuRBA@@@","C=C1C(=O)N(c2ccccc2)C(=S)N=C1O"
"decoy_2330","0.444486","0.456847","0.620286","0.668807","0.43708","0.461736","fnsq`@DVb@QlbbbbRVbNRbRHsSjmZjfijjjjdXcD@","O=C(CN1C(=O)[C@@H]2CCCC[C@H]2C1=O)NCCN1CCCCC1"
"decoy_2331","0.332693","0.395775","0.587597","0.669397","0.35896","0.409914","fj}Q@@DY@drkJl{vz\FNRmUA@@ATD@@","O=C(Cc1ccccc1)NCCc1ccc2c(c1)CCN2"
"decoy_2332","0.418935","0.492434","0.748772","0.763217","0.463582","0.537981","fhyQ@@N^@eLsJk_IvoVCPTAPDD@@@","c1cnc2c(OC3CCNCC3)cccc2c1"
"decoy_2333","0.278904","0.346954","0.696111","0.72523","0.345574","0.380698","dk]HPLg`BDBDfUWeJmMjVijPbh","OC1=NC(=S)S/C1=C/c1ccc[nH]1"
"decoy_2334","0.377275","0.392336","0.645789","0.515431","0.391005","0.390592","fj}`b@L^R@HrQIJJJIIQIDwgYbVfihJhFJ@PQ@","O=c1cc(CS/C=N/C2CCCCC2)c2ccccc2o1"
"decoy_2335","0.297675","0.359647","0.554396","0.621534","0.366077","0.385108","fa{y`@JBUiwb`swIDedheLeEDdbRbmYJwmUUKUMTuUP@@","c1nonc1-n1nnc(CN2CCOCC2)c1CN1CCOCC1"
"decoy_2336","0.392026","0.433722","0.707598","0.686206","0.417348","0.413528","fduH@@@LyKIEDhdddTePRmFlFHPLUT@D@@@","c1ccc2c(c1)[nH]c1cnc(C3=NCCN3)cc12"
"decoy_2337","0.376345","0.463826","0.539562","0.684695","0.390268","0.471191","fak`r@NPQKUf`BLddJVTrTtRTRUFIsWjuUMSUUSUDiGRLR`@","O=C(COC(=O)[C@H]1C[C@@H]2CCC[C@H](C1)C2=O)N[C@@H]1CCS(=O)(=O)C1"
"decoy_2338","0.216184","0.31059","0.485921","0.658354","0.291754","0.348604","fhyp`@IFBCBTt|zsnFZ]xMUPPTKD@@","c1ccc(C2(Cn3cncn3)OCCO2)cc1"
"decoy_2339","0.296363","0.360184","0.60256","0.628574","0.348105","0.380054","fluPb@LR``@QddabbRVbrwIF}EJuPL@@D@@@","O=S1(=O)c2ccccc2N=CN1Cc1ccccc1"
"decoy_234","0.335772","0.422512","0.932621","0.949162","0.409369","0.423572","fhy`b@JLL@HRf_YVuqSUoAif`BJh`@@","c1ncc(COc2ccc3c(c2)OCCC3)s1"
"decoy_2340","0.392347","0.457672","0.553485","0.780612","0.392839","0.472357","fiwp`@NRBCFRJJZKSIIZHqIXYPS`qSt]UUUUUT@ETD`dHbi@@","c1ccc(N2CCN([C@@H]3C[C@@H](NCC4CC4)[C@@H]4CO[C@H]3O4)CC2)cc1"
"decoy_2341","0.264211","0.356712","0.523107","0.599949","0.323457","0.374369","fhipa@LBCA@@a`QddaTTRtJRm^BmLuP@HBAD","N/C(=N\S(=O)(=O)c1cccs1)c1ccncc1"
"decoy_2342","0.281803","0.41276","0.469552","0.675813","0.341841","0.458842","fmop`@DZRCNQQJIRIIYQZIFKJtyKYcVuUUUTDpTUECB@@","O=C(NCCc1ccccc1)[C@H]1CN(C(=O)C2CCC2)CC12CCNCC2"
"decoy_2343","0.352691","0.473187","0.703881","0.81459","0.420463","0.496479","flup`@MNRAfRJIQKHiQILdITTtEAEP@P@@@","c1cc(CNc2ccc3c(c2)OCCCO3)ncn1"
"decoy_2344","0.235209","0.345562","0.411737","0.594573","0.296556","0.36782","fhyPB@FN@DYHdlhhcDe`de^CRuUP@T@@@","c1cncc(C[N@@](Cc2ccsc2)C2CC2)c1"
"decoy_2345","0.309186","0.368194","0.54668","0.552672","0.338722","0.37057","f`qPb@LD``@QddabRTVVdYwejjjjj@@","O=S(=O)(NC1CCCCC1)N1CCCCC1"
"decoy_2346","0.345071","0.380923","0.55977","0.583795","0.370278","0.394402","fi{I`@DDlxA`yEDhddmBeLeDeSdm]Fu@aCTs@A@BDX","O=C(/C=C/c1ccccc1)NNC(=O)c1n[nH]c(=O)c2ccccc12"
"decoy_2347","0.274562","0.309105","0.456257","0.45759","0.317472","0.3188","flmQB@LBR@HRfUyYU\eNR]DJZABJjjhh@@","c1cc2c3c(c(N4CCOCC4)nc2s1)CCCC3"
"decoy_2348","0.313719","0.361845","0.576888","0.570206","0.353294","0.362518","fhi`R@LPQkp@cIIBhdeEeeV|EZ``hjJ@d@","O=S(=O)(NC[C@H]1COCCO1)c1ccccc1"
"decoy_2349","0.440298","0.550886","0.622823","0.748451","0.44092","0.485573","flup`@DXlCfQQQIKJHqIDYhtTmUMUUUUPX`@","O=C1N[C@@H](C2CC2)C(=O)N1CCCN1CCCCC1"
"decoy_235","0.368305","0.355959","0.56676","0.599172","0.380116","0.363365","fa{PP@EVA`N\dTbfVJRRbRfVFBdgK^uUUUUUUUUHQOP@","C1CCC2(C1)OC[C@@H](CNCCNC[C@@H]1COC3(CCCC3)O1)O2"
"decoy_2350","0.325882","0.403012","0.70077","0.723403","0.420117","0.434198","fdeP`@LTAiJYnye_qRp_Qif@H@B@@@","Oc1ccccc1-c1nnc(-c2ccccc2)o1"
"decoy_2351","0.337103","0.426103","0.611373","0.679338","0.363924","0.422573","ffcI@@DRUdBSLj|joZlxxIZmTmAA@@P@@@","O=c1cc(NCc2cccnc2)ccn1Cc1ccccn1"
"decoy_2352","0.352125","0.616502","0.584646","0.800992","0.413355","0.626145","dg}D`NnD@HrRPiYQITqvmUUUUEH@","O=S1(=O)CC[C@H](NC2CCNCC2)C1"
"decoy_2353","0.412389","0.452614","0.747382","0.724152","0.449434","0.470758","ffkXA@JRMYIPAG`cIEEDmDddjheb`mV]xIZtCAQKURqUabBhh@","C1=C[C@H](c2nc3cc4c(cc3s2)N[C@@H]([C@H]2C=CN=N2)S4)N=N1"
"decoy_2354","0.322851","0.365707","0.730848","0.733858","0.395555","0.411016","foQ`@@@ISKK^{ABuYuUUA@TXaLHT@@","c1ccc(CN[C@@H]2C[C@@H]3CC[C@H]2C3)cc1"
"decoy_2355","0.264713","0.31755","0.612306","0.627944","0.338542","0.352342","fdei@@DLxYpDfYYug]`mNCEjdH@@H@@@","O=c1cnc2cncnc2n1Cc1ccccn1"
"decoy_2356","0.27573","0.382129","0.569628","0.728307","0.331634","0.395625","fduP`@HDAsIDhmDdhdU`bmFlFMKUUT@QDJP@","c1ccc2c(c1)C[C@@H](c1nc(CC3CC3)no1)O2"
"decoy_2357","0.491849","0.612368","0.712497","0.790803","0.530915","0.635896","fdyQa@MQ`aP@c`QddaRrTrbRhpLUjjfjjjED@","O=C(CS[C@H]1CCS(=O)(=O)C1)NC1CCNCC1"
"decoy_2358","0.395599","0.397898","0.624094","0.579699","0.406977","0.396649","fj}hB@FJuYp@cIEDhThULhdbTdkIZe@Bf`@`@@","N=C(Nc1ccccc1)Nc1nccc(-c2cccs2)n1"
"decoy_2359","0.390546","0.389604","0.617432","0.548027","0.409193","0.370816","figPb@LQ``@QddaTTRRVebRRVgV}doQkT@@@UKRaT@p@","O=S(=O)(Nc1cccc([C@@H]2C=c3ccccc3=N2)c1)c1ccccc1"
"decoy_236","0.275605","0.386312","0.609566","0.782301","0.335286","0.39669","fhyP@@@JrQQJKEJIJgAR|D@@B`@@@@","c1ccc(Nc2ccc3ncccc3c2)cc1"
"decoy_2360","0.313307","0.426008","0.471023","0.631673","0.347024","0.411033","fhiP@@@RRiU}VUispZjjj@B@@@","c1ccc(CNCCCN2CCCCC2)cc1"
"decoy_2361","0.37866","0.346616","0.589376","0.5132","0.401944","0.363427","fa{Y@@DD]xLPYEDhddmEDdbdaRCENV}ZjZjZYZVjQbBdFP","O=C(N/N=C/c1cn[nH]c1)[C@@H]1CC[C@@H](C2N=c3ccccc3=N2)C1"
"decoy_2362","0.321998","0.398688","0.716432","0.728806","0.366751","0.393068","fhyQ@@DJ@drjkljR`i^BuPAP@@@@@","O=C1Cc2ccc(Nc3ccccc3)cc2N1"
"decoy_2363","0.376364","0.424915","0.859643","0.761583","0.428705","0.42599","foQH@@@XtYJYYwmhIQkNBBbfhd@@","c1ccc(N2CCn3ccnc3C2)nc1"
"decoy_2364","0.39031","0.494417","0.602999","0.761842","0.402846","0.481088","fj}pb@FB}ip@aJYUW]mVqPTlejjjffjjkDIaT`@","O=C(CCCC[C@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCC1CC1"
"decoy_2365","0.294671","0.358446","0.601307","0.616744","0.35339","0.361614","foAPa@LR``@PHHrRPjJIIKScVVdJB``PI@","O=S(=O)(/N=C1\NCCS1)c1ccccc1"
"decoy_2366","0.374156","0.461977","0.537944","0.914212","0.398149","0.462365","fj}P@@@^rRJIIKEIJIKbiZrVhJBJjjh`@@","c1cc(N2CCCCC2)ccc1CCCN1CCCCC1"
"decoy_2367","0.307658","0.418377","0.521766","0.606836","0.347331","0.427137","fduH@@@JmEJVuvVUpS`g^CEjiZjZfiBIJ@@","C1=C[C@H]2N=CC=C2C=C1[C@H]1NCCC2=C1NCN2"
"decoy_2368","0.393854","0.307746","0.722026","0.51247","0.424979","0.335432","fa{p`@D^BAvQQJJJIIQINYKWkI\EoVh@HBF@@B@@@","O=C(Nc1ccccc1)c1cc(-c2ccccc2)nc2oncc12"
"decoy_2369","0.351302","0.379546","0.553234","0.610752","0.39051","0.388726","fj}I@@JRCDBTkjlkkJRegYKUUUUUTmP@@","c1cnn(CC2CCN(CCCN3CCOCC3)CC2)c1"
"decoy_237","0.27542","0.417642","0.625063","0.772003","0.338989","0.428782","fhyH@@@DyKIDhdbdhdjLxKpVjUf@BbBEBT@","C1=CC2=C(/N=C/c3ccccc3)N=N[C@H]2N=C1"
"decoy_2370","0.32863","0.386563","0.630231","0.637861","0.375494","0.410066","fdeqB@BTe@@PeWJljj|DzO`mMRCAIE@E@@","[O-][S@@+](Cc1ccccn1)C1=NC2=CCC=CC2=N1"
"decoy_2371","0.447738","0.56597","0.723679","0.775252","0.482972","0.566478","fhyPb@LA``@QddabTRfrpeJmxJuUUUUTbbU@@","O=S(=O)(CC1CCNCC1)N1C[C@@H]2CC[C@H]1C2"
"decoy_2372","0.338185","0.407986","0.613873","0.653452","0.390927","0.448585","figq`@DXT@sdfUU]mYVuIPTlezMj`Bfh@@@@@@","O=C(COc1ccc2ccccc2c1)Nc1ccc2[nH]c(=O)[nH]c2c1"
"decoy_2373","0.299121","0.360108","0.713425","0.730909","0.374723","0.416361","dk_HPAeS@HXHRf_Y_JWZYijZ@@","O=c1[nH]nc(SCc2cccs2)[nH]1"
"decoy_2374","0.39625","0.351537","0.70129","0.574369","0.421433","0.36426","fa{q`@DDrCP\bbTRRTtRTRrLcAKGK^mPHTMUUJS@`r@","O=C(N/N=C/C1=c2ccccc2=NC1)c1ccc2c(c1)OCCO2"
"decoy_2375","0.389067","0.432591","0.590739","0.586044","0.424708","0.40699","fj}PR@LV``w`AFRREJJQQJIYAcENRkUUTtuUUbdYHh@","O=C1NCCCC[C@H]1NS(=O)(=O)C[C@@]12CC[C@@H](CC1=O)C2"
"decoy_2376","0.453976","0.462371","0.712469","0.736488","0.45464","0.474755","few``@D`UdTTTTRRVfNRbRXhwgQGMjPB@BJ`@`@@@","O=c1c(-c2ccccc2)coc2c(CNCc3ccccc3)cccc12"
"decoy_2377","0.348855","0.327354","0.637206","0.55394","0.397542","0.346109","ffcp`@DX\ARSKKJnJly[qZmMPLBUUQPyHV`","O=C1N=C[C@H](/C=N/C2CCCCC2)C(=O)N1c1ccccc1"
"decoy_2378","0.314054","0.364027","0.545289","0.708085","0.336314","0.367007","fnkP@@@JRfUWyWVUqSdg^jujifjj`@Z@@@","c1ccc(CC2CCN(CC3=c4ccccc4=NC3)CC2)cc1"
"decoy_2379","0.387253","0.409697","0.68959","0.713442","0.387599","0.408598","figh@@@XihrTrsjzsJktDhq^mFDEEUP@@@P@@@","c1ccc(Nc2cc(N3CCN(c4ccccc4)CC3)ncn2)cc1"
"decoy_238","0.351838","0.390266","0.622459","0.616368","0.379386","0.386427","ffcq@@DXRAIeUfUV}{A|dmVjh@@@@@@@@","O=C(NCc1ccncc1)NCc1ccc2ccccc2c1"
"decoy_2380","0.333631","0.446377","0.497138","0.641979","0.359943","0.441979","fleQa@NJ`bP@bpQddaRrfRRbUFQRmUSUUUTJH@","O=C(NCCSC1CCCC1)N[C@H]1CCS(=O)(=O)C1"
"decoy_2381","0.436935","0.430958","0.622667","0.651965","0.456894","0.489272","fcp`@DXJ@rSJjnkJzkJdhJTTkvuPAU@AU@@@@@@","O=c1[nH]c2ccc(CCOc3ccc(CNCc4ccccc4)cc3)cc2[nH]1"
"decoy_2382","0.356097","0.400675","0.583875","0.580348","0.389692","0.376215","fakPRBLA``qPAAnCNRREQQIQHpqI[WgQ[uZPhIR`PB@PI@","O=C1C=C/C(=N\S(=O)(=O)c2ccccc2)C([O-])=C1[n+]1ccccc1"
"decoy_2383","0.375288","0.461091","0.544924","0.697846","0.390499","0.443144","ffcpb@JF|yH@cIDeeHdbidhdRbmEkUUUUMUUUBJ@@","O=C(NC[C@H]1CCCO1)NCC1(N2CCSCC2)CCCC1"
"decoy_2384","0.269187","0.340307","0.5477","0.683206","0.328583","0.360054","fjcq@@LZbAJYyU^yWqQQoQrVfP`b`PH`@@","c1ccc(-c2nc(Cn3cnc4ccccc43)co2)cc1"
"decoy_2385","0.281438","0.339369","0.631672","0.646776","0.340551","0.363922","fhyQ@@NR@eJw[]jQdm^CUTuH@TPq@@","c1ccc(-c2c[nH]nc2[C@H]2CCCOC2)cc1"
"decoy_2386","0.366003","0.553355","0.603656","0.784533","0.391506","0.524015","f`iH@@@XHyJYeeuz\tzw`Hbjjb`@@","c1nc(N2CCCCC2)nc2c1CNCC2"
"decoy_2387","0.275705","0.365328","0.457743","0.507038","0.339381","0.371651","dk^D`Aa@BLddJVRT[mMZjjj`@","O=S1(=O)CCC(NCC2CC2)CC1"
"decoy_2388","0.309472","0.352499","0.560724","0.559925","0.360469","0.370072","fa{pa@AAcA@@c`QddabbRRaRTVVU[Qhe[uZBPhH@@A@@@","O=S(=O)(c1ccc2ncncc2c1)c1nc(-c2ccccc2)cs1"
"decoy_2389","0.256334","0.31092","0.600225","0.597856","0.361197","0.444517","foQQ@@FJAdbbTVLRUF\EYuUUP@THaLH@","c1ccc(N2CCO[C@@H]3CCC[C@H]32)nc1"
"decoy_239","0.208463","0.247207","0.451333","0.464291","0.277266","0.301813","fdu@P@@H\EIegUgfHqwoQCEjZjZjjiaHqFeizQP@","C=C1C(=O)O[C@@H]2CC(=C)[C@H]3O[C@H]3[C@@H]3O[C@@H]3CC[C@H]12"
"decoy_2390","0.378175","0.357553","0.554618","0.526428","0.393251","0.378533","fmoX`@DTYpTPJrJIJEJZJIQKZYJc@qsVZvjff@@B@@P@PX`","O=C1CN=N/C(=N/NC(=O)c2cc(-c3ccccc3)nc3ccccc23)N1"
"decoy_2391","0.376686","0.47304","0.518974","0.614825","0.388369","0.423541","fb}p`@DLb@VQQQQJIjIJHgIJCENVjijjjjjIaFghE@@","O=C1C[C@@H](NC[C@H]2C[C@@H]3CC[C@H](C2)N3)C(=O)N1C1CC1"
"decoy_2392","0.361572","0.406041","0.642608","0.651546","0.389304","0.414003","fj}p`@DDBAVQQJIIQPqIHrLFNRmPPLPR@P@@","O=C(NNC(=O)c1ccc2[nH]ccc2c1)c1ccccc1"
"decoy_2393","0.238533","0.307271","0.583656","0.614047","0.323399","0.347857","f`i@b@NJ@DISOrmkbbmN}SMU@AQAb@@","c1csc(C[C@H]2COc3ccccc3O2)c1"
"decoy_2394","0.356729","0.40973","0.611124","0.641721","0.38714","0.420011","fbuPP@IV@`QlbbTQfRfTRUFIruUMSP@P@@","O=C(COC(=O)C1CC1)NCC(=O)Nc1ccccc1"
"decoy_2395","0.311789","0.368562","0.709463","0.70073","0.382333","0.403844","flua`@D@eyIefYU[}AmGrVh@`B```@@","O=C(Nc1ccccc1)c1cccc2c1OCCO2"
"decoy_2396","0.394753","0.533175","0.653569","0.761168","0.44993","0.541689","f`qPb@AV``@QddaRrRbRYqwejjjjj`i@@","O=S1(=O)CCC(NC[C@H]2CCCNC2)CC1"
"decoy_2397","0.287944","0.304935","0.717383","0.652779","0.363857","0.361472","fheP`@DBA[HheIhiddR\dhuoAZjiA`FbFD@","O=C1NC=C[C@@]12c1ccccc1-c1ocnc12"
"decoy_2398","0.319836","0.401865","0.576362","0.596282","0.351454","0.381319","flmq@@DDTAIf[eeURLuyrPqij`fAhX`@@","Oc1c2c3c(cnc2nn1-c1ccccc1)CCC3"
"decoy_2399","0.469534","0.471018","0.715815","0.737813","0.492788","0.506489","fagq@@DLRCHhhiEMDde]LeSfkF\EK^mUUUUU@AUFLKdt`@","O=C1N(C2CCNCC2)C[C@H]2C[C@H](c3ccccc3)N3CCC[C@]123"
"decoy_24","0.305944","0.369665","0.881063","0.89769","0.367694","0.400135","f`qA@@@ILrj}jISoM@a@@@BEH","O=C(/C=C/c1ccccc1)c1ccccc1"
"decoy_240","0.299013","0.433157","0.490076","0.691535","0.352995","0.439868","foQPB@JF@DIRnlriJFlYuUUUUUXxaPt@@","C1CN(C[C@H]2C[N@]3CC[C@H]2CC3)CCS1"
"decoy_2400","0.347276","0.384952","0.613533","0.639202","0.377241","0.401804","fnsq`@DDlAWlbbTRRbLrrbRd[pZmZ``XZX@B@@@","O=C(NNC(=O)c1cc(-c2ccccc2)on1)c1ccccc1"
"decoy_2401","0.381735","0.487918","0.701829","0.751912","0.431809","0.478436","f`iP@@@RrQRIHyQITDscoUUUP@TPx`@","c1ccc(N[C@H]2CCNC3(CCC3)C2)cc1"
"decoy_2402","0.233781","0.280051","0.568534","0.574198","0.34197","0.331667","fhyp`@NN|BrSLl{|kNRuxKPLDTuB@@","O=c1ccn(Cc2ncno2)c2ccccc12"
"decoy_2403","0.326723","0.399998","0.581423","0.605729","0.35193","0.354985","fhyPB@JJ@DIRnlrmxH[s`uUP@@DDLH@","c1cnc2c(CN[C@H]3CCSC3)cccc2c1"
"decoy_2404","0.308151","0.425869","0.631409","0.724878","0.351931","0.423157","f`iP`@DLASHheEBdddsbmN|uL@EUD@@","O=c1[nH]c2cc3c(cc2[nH]c1=O)CCCC3"
"decoy_2405","0.384225","0.482723","0.605314","0.686469","0.404919","0.442518","fdeQ@@DZAdTRbbRbVQT{U`qZjjjjjiAIq@@","O=C(N[C@@H]1CC[N@@]2CCCC[C@H]12)C1CCCCC1"
"decoy_2406","0.305104","0.367418","0.603201","0.618203","0.355157","0.37051","f`qP`@DD@YIfU~YvB]yjeXHB@@@","O=c1ccccn1N=Cc1ccccc1O"
"decoy_2407","0.321467","0.40039","0.692931","0.721997","0.363688","0.394317","foAQBDLRx@HeNRJIFYQIDiYuRsP@P@@","O=C(C[n+]1ccccc1)Nc1cccs1"
"decoy_2408","0.386492","0.448951","0.694396","0.725502","0.457762","0.474256","fduP@@@QRiggV]|LyKS`qjjBBbjbaA@@","c1ccc2c(c1)[C@@H](N1CCC1)CC21CCNCC1"
"decoy_2409","0.243515","0.301452","0.620832","0.653838","0.326906","0.35091","fhyh@@@LxhNRJIQYRqITEIW`a@qT@@`@@","c1ccc(-c2ncnn2-c2ccncc2)nc1"
"decoy_241","0.241619","0.344925","0.632856","0.74727","0.326408","0.397049","f`ipA@BJt@HpDISLzsnRdcN}Ta@@A@@@","c1cnc(Sc2nc3ccccc3s2)nc1"
"decoy_2410","0.456059","0.577475","0.749412","0.800489","0.517044","0.599387","foAq@@DXlAIfUWmDjsfjjjjjDd@","O=C(NC[C@H]1CCNC1)N1CCCCC1"
"decoy_2411","0.31488","0.373978","0.686074","0.685384","0.371787","0.377243","fbma`@D@|eIeeV]{VQgASejB@@HjB@@","O=C(NCc1ccc2c(c1)OCCO2)c1ccccc1"
