"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"decoy_2015","0.264593","0.273855","0.465042","0.463251","0.403594","0.347462","-6.315","fhipQ@NZCADe@BAAFRREKJPqITYxJuUKUUTJH@","O=S1(=O)CC[C@H](NS(=O)(=O)N2CCNCC2)C1"
"decoy_2016","0.262185","0.254241","0.469328","0.421969","0.322356","0.307513","-8.361","fj}`b@IBB@HrQQIJHzIJYKboQrV``XZViR`PU@","O=C(CSc1ccccc1)/N=c1\ccc2cccoc-2c1"
"decoy_2017","0.233292","0.266267","0.456306","0.510262","0.302237","0.323064","-5.516","fj}P`@DNAQIeYUgg[UXNTeZhH@@@@@@@","O=C(COc1cccc2cccnc12)Nc1ccccc1"
"decoy_2018","0.227324","0.228961","0.369917","0.339677","0.290106","0.277512","-6.924","fb}p@@@\]dbRabTRRaRIRRkNSd@Jjj`@JBLPiIJ`@","c1ccc([C@@H]2N[C@@H](c3cccnc3)[C@@H]3CNC[C@@H]32)cc1"
"decoy_202","0.242992","0.258125","0.396281","0.38273","0.308092","0.30982","-6.08","f`qpa@LD}A@@bpQddabbRRRMzsejjjjj@@","O=S(=O)(N1CCNCC1)N1CCCSCC1"
"decoy_2020","0.226491","0.245859","0.381703","0.416388","0.29316","0.300761","-6.635","fa{H@@@XUgIEDeihhddmBeSgdqJwhPQP@@@@@DFH@","c1ccc(N[C@@H](c2ccc3cccnc3c2)c2ccccn2)nc1"
"decoy_2022","0.397072","0.308239","0.672996","0.502355","0.424599","0.341756","-6.664","fdeH`@DZ]DEDfUm]VVcIJCEj`@jfhP@@","O=C1COc2cc(NCc3cnc[nH]3)ccc2N1"
"decoy_2024","0.300535","0.209513","0.540403","0.380644","0.343193","0.251686","-4.716","fnsqb@LQsACPAFRREQQIISZEKZ}XIZkT@@DCSHP@@","O=c1ccc(-c2cccc(S(=O)(=O)Nc3ccccc3)c2)n[nH]1"
"decoy_2025","0.263584","0.325558","0.444671","0.492596","0.41635","0.403489","-6.335","fj}Hb@IJ|VB@AFRRFJIIK[QIJlYvRkP@@AUTD@@","O=S(=O)(c1ccccc1)c1cnc(N2CCNCC2)nc1"
"decoy_2026","0.187651","0.214507","0.353326","0.360202","0.253793","0.271751","-5.577","fluP`@DL@eIeYyeUzL]DJVfjB`hd`@@","O=C1CC(C2CCOCC2)=NC(c2ccccc2)=N1"
"decoy_2027","0.355618","0.381859","0.607779","0.605678","0.489799","0.443988","-6.552","fj}H@@@Pi[IEEmEDdThdlTt[IYj`HJ`@P@@","c1ccc(CNCc2ccccc2Cn2cncn2)cc1"
"decoy_2028","0.296657","0.32142","0.505225","0.529448","0.368333","0.354134","-4.559","fnsp`@DTdAnQQIJJQIQIYHvSFiVmUUUUUUUP@@","O=C(CN1CCCCC1)NCC1(N2CCOCC2)CCCCC1"
"decoy_203","0.253971","0.2505","0.410828","0.425045","0.320506","0.311182","-6.564","fdeQ@@FF@eLJ{JxhkPXuUUUUUUBB@@","C1CCN(C2CCN(C[C@H]3CCCO3)CC2)CC1"
"decoy_2030","0.16304","0.161149","0.359312","0.325722","0.25756","0.244596","-3.709","fhia`@D@Y[HhdhbeEEj\|EjfjijjBd@","O=C1CC(CC[C@H]2CCCCC2=O)CC(=O)N1"
"decoy_2031","0.205161","0.210454","0.439277","0.407584","0.290918","0.283651","-4.495","fbmp`@D\r@JSKLjo|jkF\gKT@@@TtB@@","O=C(Nc1ccccn1)c1ccc(-c2cnco2)cc1"
"decoy_2032","0.341888","0.410686","0.597038","0.625193","0.475703","0.472113","-5.845","fhyQ`@DL@JvQQQQJIjIDyIW`mUSUUURLHr@@","O=C1C[C@@H](NC[C@H]2CCCO2)C(=O)N1C1CC1"
"decoy_2033","0.239823","0.312976","0.552331","0.620511","0.337903","0.366878","-4.097","foAPc@LZ``@PpH\DYIHUDdhUIUgKUMTlp@@","O=S(=O)(NCc1cscn1)c1cccs1"
"decoy_2035","0.178909","0.173257","0.358385","0.317454","0.26109","0.240814","-4.949","fbmqb@LNSAFPAFRREQQIISY[WkAbeZ`@@`iB@@","O=c1[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc2[nH]1"
"decoy_2036","0.33312","0.377492","0.638935","0.653461","0.431508","0.435246","-6.018","fhyP@@@\rRIIPyJIJ`fB|Fjjj`@h`Q@@","c1ccc(CCN[C@H]2CN3CCC2CC3)cc1"
"decoy_2038","0.27322","0.277736","0.527108","0.513393","0.339841","0.334057","-5.682","fa{I@@DTdhBSKLjovmkqQgIrwkRuUL`@@L@HDP","O=C1N=c2ccccc2=NC/C1=N/Nc1ccc2ccccc2c1"
"decoy_2039","0.255931","0.291792","0.550594","0.570357","0.320489","0.33376","-4.488","f`qq@@DBTAIeeV]yF]yjB@@@@@@","O=C(NCc1ccccn1)c1cccnc1"
"decoy_204","0.324926","0.305943","0.663303","0.560577","0.39508","0.343365","-3.914","fdeh@@@PIZNRIQIIIJEJcMFCDBBB@@@@@@","c1ccc2c(NCc3ccncn3)nncc2c1"
"decoy_2040","0.214286","0.273257","0.464067","0.522717","0.296742","0.332544","-4.816","fbmPb@LB``@QddaTTRRVaRtzwdyVh@@@@@@@@","O=S(=O)(Nc1ccc2ccccc2n1)c1ccccc1"
"decoy_2041","0.477554","0.392584","0.745124","0.610734","0.545243","0.421805","-6.329","fdeP`@D^@IIfYUywHsS`qZjfjjjkFHqR`@","O=C1[C@@H]2CCCC[C@H]2C(=O)N1C[C@@H]1CCCNC1"
"decoy_2042","0.217381","0.240354","0.377477","0.373373","0.287041","0.293897","-6.008","fhyH@@@TdGIEDhcMhdjLDkpPHJjjhjGH@","c1ncc2c(n1)CCC[C@@H]2NC1CCNCC1"
"decoy_2045","0.132642","0.148617","0.233999","0.25473","0.221689","0.223992","-8.567","fhipb@LR}A@@cIIBeEDdec^\EZjjjjjCD@","O=S(=O)(C[C@H]1CCCCN1)NC1CCNCC1"
"decoy_2046","0.294029","0.302299","0.554455","0.584727","0.36124","0.348195","-6.713","fmH`DLF[L@SSdbbbTRVVTrRJbUIBMivRsWP@DAEMUTlCPd`@","c1coc([C@H]2c3ccccc3Oc3nc[n+](CCCn4ccnc4)cc32)c1"
"decoy_2047","0.271215","0.25829","0.610938","0.507473","0.346501","0.304052","-4.725","f`qq@@DBlAIeeV]yF]yjB@@@@@@","O=C(NCc1cccnc1)c1cccnc1"
"decoy_2049","0.19188","0.215504","0.504378","0.497801","0.286453","0.310479","-4.431","fhiPB@DT@DILlwJkf|xKTp@@@@@@","[H]/N=C(/C(=S)Nc1ccccc1)c1ccccc1"
"decoy_2050","0.382709","0.393579","0.648334","0.615179","0.504312","0.451367","-6.591","dg~L`CaN@HrRPiYJITqvmUUUTeRX@","O=S1(=O)CC[C@@H](OC[C@@H]2CCNC2)C1"
"decoy_2051","0.171623","0.178534","0.401657","0.366657","0.245568","0.230035","-5.126","fhya@@D@RYV{VuisQoAZfP@jh`@@","O=c1cccc(-c2ccc3c(c2)CCCC3)[nH]1"
"decoy_2052","0.256054","0.218259","0.413424","0.370818","0.33712","0.290725","-5.819","fj}qb@NZcAD`AFRREKJYQQJETYxNRkUTuUUUUbdMGH@","O=C(CN1CCC[C@@H]1[C@H]1CCCN1)N[C@@H]1CCS(=O)(=O)C1"
"decoy_2054","0.254899","0.248145","0.54703","0.491345","0.331051","0.309625","-4.431","fj}q@@DAbAIefUW}eUXsleZ`@@BjTH@@","O=C(Nc1ccccc1)c1ccc(Cn2cccn2)cc1"
"decoy_2056","0.208149","0.25552","0.372118","0.413409","0.296193","0.324041","-7.243","fhip@@@\deRkzlkSg`uUUT@D@@@","c1ccc(CNCCCN2CCNCC2)cc1"
"decoy_2058","0.217815","0.213403","0.434528","0.392309","0.292122","0.2778","-4.037","ffcP`@DUA{HheEDdebeDdjqgEju@@@E@@@@@","O=C(Nc1ccc(Oc2ccncc2)cc1)c1ccccc1"
