"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"decoy_4676","0.464545","0.403003","0.728191","0.691035","0.5964","0.537163","-9.075","f`iP`@DX@yIeUWYRTEIwfj@Jj`hZP@","O=c1[nH]c2ccc(C[C@H]3CCOC3)cc2[nH]1"
"decoy_4677","0.326344","0.305154","0.570561","0.563973","0.3808","0.363825","-6.477","foQq@@DX\CHhhdeCDnBMZsfjejjjprReh@","O=C(N[C@@H]1C[C@H]2C[C@@H]1CN2)n1cccc1"
"decoy_4678","0.359352","0.376382","0.606391","0.704992","0.435721","0.457667","-4.945","dco@`HR`BDiWYWBWZV`@`@@","c1ccc(Nc2cnsn2)cc1"
"decoy_4680","0.297641","0.270574","0.60307","0.516545","0.345885","0.327972","-5.394","fluh@@@PMzJTmvnjrxiITTsT@ETti@@@","c1cc(CNCc2ccc(-c3cc[nH]n3)cc2)n[nH]1"
"decoy_4681","0.519827","0.449443","0.736048","0.707943","0.568159","0.506908","-6.863","foAP`@DD@kHheDdhcIFlyjBAbb@@","O=C(NNC(=O)C1CC1)c1ccccc1"
"decoy_4682","0.216009","0.251267","0.391096","0.560301","0.309116","0.347655","-4.205","fdeQ@@NQAdbbRJbbTVhrw`qjjh@@BBDD@","c1cc(NC[C@H]2CCCCO2)c2ccncc2c1"
"decoy_4683","0.327874","0.288919","0.598949","0.582718","0.385138","0.35946","-6.611","fnkQ@@DRAdTRbfRRttRbMNZlgMVmMUSHDESECB@@","O=C1N=c2ccccc2=C[C@@H]1CNc1cccc2c1CCCC2"
"decoy_4684","0.429473","0.366413","0.712847","0.670861","0.480721","0.436421","-5.761","fhi`a@LPP@HTDYIHTeEDdeXKoKUPRE@`@@","O=S(=O)(Cc1ccccc1)NCc1cccs1"
"decoy_4686","0.628074","0.511073","0.787131","0.755122","0.720539","0.601205","-7.076","dcl`@@pURfU{Zy]BBIhP@","c1ccc(Nc2ccn[nH]2)nc1"
"decoy_4687","0.354456","0.331669","0.668872","0.679892","0.413411","0.393263","-5.495","fhyQ@@DV@drsJrziuoVBuAPUEEXHnRt@@","O=C(N[C@H]1C[N@]2CC[C@H]1CC2)c1ccccc1"
"decoy_4689","0.483245","0.435676","0.684544","0.703766","0.537393","0.500774","-7.541","dk_D@DYPMIfYUYM]ZjZjd@@","O=C(c1ccn[nH]1)N1CCOCC1"
"decoy_4693","0.419619","0.329839","0.651153","0.656685","0.494731","0.40581","-4.389","fnkP`@D\A{HheEEEDeDdcm^\VM\mZj@@B@@H@@@","O=C(Nc1ccccn1)C1c2ccccc2Oc2ccccc21"
"decoy_4697","0.467538","0.486054","0.689155","0.680166","0.508526","0.531196","-6.408","dg|h@DgSAIefUU[tvhIA``@","O=C(Nc1cn[nH]c1)c1cccnc1"
"decoy_4698","0.317724","0.293961","0.563894","0.484846","0.423788","0.396584","-4.046","dg|d`Ne[a@BLddJVTRUL]kUT@DQR@","O=S1(=O)CC[C@H](Nc2ncncn2)C1"
"decoy_4699","0.433281","0.465256","0.72915","0.796041","0.494641","0.53199","-4.296","fj}P`@DQ@GHheEDdehXUEVM{IVh@@BFjB@@","O=C(Nc1cccc(C(=O)NC2CC2)c1)c1ccccc1"
"decoy_47","0.425856","0.451185","0.725073","0.697628","0.461058","0.4904","-5.618","fbmq`@DX|CfdfYYgW_fB\ENVjfAPbjHDMH","O=C1NC(=O)N(c2ccccc2)C(=O)/C1=C\NC1CC1"
"decoy_4701","0.595908","0.521027","0.838193","0.731596","0.676179","0.595198","-7.156","dcn`@@raUJYWmketHHfa@@","c1cc(Nc2ccn[nH]2)ncn1"
