"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"decoy_1737","0.531759","0.508341","0.753281","0.743375","0.544706","0.477728","fhyQB@NAX@HRe^yVupQVoAiYjjjj`@@","O=C(c1ccsc1)N1CCC2(CCNCC2)C1"
"decoy_1738","0.400098","0.355637","0.676409","0.591712","0.446132","0.410011","ec`\H@@DE@`DfVYYVUw~uhxlRBbJZVvZYjjPiB@@ZBBIPTP","O=C1N=c2ccccc2=C(c2ccccc2)/C1=C1/C[C@@H](c2ccccc2)NN1"
"decoy_1739","0.420396","0.552143","0.669218","0.83609","0.492894","0.604322","fnsp@@@L}dbbTTrNRRTRUARuUh@PDUU@@@@@","c1ccc(CNCCCCNc2cccc3cccnc23)cc1"
"decoy_174","0.390385","0.408311","0.668255","0.841422","0.425537","0.450791","fhyP@@@ARfV]~UhpRoA@@BH@@@@@","c1ccc2c(Cc3ccncc3)ccnc2c1"
"decoy_1740","0.347462","0.449277","0.596438","0.681099","0.415738","0.514854","fegPQ@MN`brPA@PcIICDdeMDlheJeHvRcfmAAPuSP@D@@@","O=C(CCS(=O)(=O)c1ccc2c(c1)NC(=O)CCS2)Nc1ccccc1"
"decoy_1741","0.447311","0.39972","0.653776","0.623301","0.482665","0.442934","fjcPb@LT``G`eVjjjoJtYIUgYJuUUTl@EPPDXiIT@@","O=[P@@H]1NN2C[C@H]3C=C(c4ccccc4)C=C[C@H]3C[C@@H]2CO1"
"decoy_1742","0.258157","0.206363","0.576916","0.444805","0.355871","0.289852","fegI@@ENSLBTrjzrj~roIARN]AAEUUU@@P@@","c1cc(CCNCc2ccc(OCCCN3CCNCC3)cc2)ccn1"
"decoy_1743","0.347613","0.378034","0.634666","0.761501","0.435929","0.464511","fa{QB@LB\@HRfUU^Y^]rTyJIV}hDHhF@@B@@@","O=C(Nc1csc2nccc(-c3ccccc3)c12)c1ccccc1"
"decoy_1744","0.27217","0.347417","0.539724","0.635185","0.350188","0.426728","ek`\B@@DLF`HdjlbbRdRRRbtZTrbRt\L|LBvNZjjjjfih@JcARZHr@@","O=C(COC(=O)CCNC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)Nc1ccccc1"
"decoy_1745","0.371419","0.35611","0.647884","0.69561","0.420108","0.403934","foQH@@@PhsIEDeLhTlTEJsijj`@T`Q@@","C1=C[C@@H](c2ccccc2)n2ncnc2N1"
"decoy_1746","0.304865","0.303379","0.641933","0.671983","0.439778","0.419464","figIB@LDTdP@cIEDdhidiTlhdnZMZJ^chHIbjj`@F@@@","c1ccc(N2CCN(c3ccnc(SCc4ccco4)n3)CC2)cc1"
"decoy_1747","0.265788","0.302863","0.493882","0.575774","0.331644","0.368308","ec`TL@@DH`@nlbbTbRRTVcTRTrRefcfgcPrvsUUUUSMKTmUXRQQZRBI@","O=C(CCNC(=O)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)/N=c1/ccc2cccoc-2c1"
"decoy_1748","0.37018","0.465847","0.638039","0.7461","0.439427","0.555076","fmwQb@LI`bH@cIIBhhddlULdhdmNmzZuj@@@Ij`@@@@","O=C(NCCc1ccccc1)c1ccc(NS(=O)(=O)c2ccccc2)cc1"
"decoy_1749","0.358263","0.506304","0.58354","0.832078","0.419318","0.564686","ffcQ@@DNAdTRbbRRqRbRUXsbuZ`hJJ`@H@@","O=C(NC1CCN(Cc2ccccc2)CC1)c1ccccc1"
"decoy_175","0.338138","0.350894","0.560099","0.591145","0.417583","0.425857","fbmHB@DXIP@PdrvkLjnQgdqrttt@@@PPYHL`","S=C1N=N[C@@H](c2ccccc2)N1/N=C/c1ccccc1"
